prefijo,codigo_organismo,nombre_organismo,region_unidad,total_le_adjudicadas
3656,116215,I MUNICIPALIDAD DE REQUINOA,Región del Libertador General Bernardo O´Higgins,495
3794,113812,DIRECCION DE LOGISTICA DE CARABINEROS,Región Metropolitana de Santiago,284
1660,7323,SERVICIO SALUD COQUIMBO HOSP DE SALAMANC,Región de Coquimbo,279
3863,117584,I MUNICIPALIDAD DE SANTA CRUZ,Región del Libertador General Bernardo O´Higgins,254
4809,7248,MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF,Región de la Araucanía,248
1247197,1801813,CORP MUNICIPAL DE CONCHALI DE EDUCACION SALUD Y ATENCION DE MENORES,Región Metropolitana de Santiago,220
3709,116399,I MUNICIPALIDAD DE VICTORIA,Región de la Araucanía,207
979,7248,MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF,Región Metropolitana de Santiago,207
3510,115011,I MUNICIPALIDAD DE CALBUCO,Región de los Lagos,204
1509,7274,SERVICIO DE SALUD METROPOLITANO NORTE HOSPITAL DE TIL TIL,Región Metropolitana de Santiago,202
2196,7427,Hospital Psiquiátrico El Peral,Región Metropolitana de Santiago,188
3589,115294,I MUNICIPALIDAD DE YUNGAY,Región del Ñuble,176
3960,118855,I MUNICIPALIDAD DE HUALANE,Región del Maule,166
3928,117179,ILUSTRE MUNICIPALIDAD DE PICHILEMU,Región del Libertador General Bernardo O´Higgins,166
4857,183037,I MUNICIPALIDAD DE TIRUA,Región del Biobío,164
1057503,7331,HOSPITAL PADRE ALBERTO HURTADO,Región Metropolitana de Santiago,159
2564,92414,I MUNICIPALIDAD DE CHEPICA,Región del Libertador General Bernardo O´Higgins,156
3508,115168,I MUNICIPALIDAD DE CHONCHI,Región de los Lagos,156
2342,86548,I MUNICIPALIDAD DE SAN BERNARDO,Región Metropolitana de Santiago,152
